marker,entropy_pos_X,entropy_vel_X,mean_vel_X,entropy_pos_Y,entropy_vel_Y,mean_vel_Y,entropy_pos_Z,entropy_vel_Z,mean_vel_Z,Groups,trail,subjects
5,0.012441315,0.137010406,-0.000454168,0.024758629,0.238694425,-0.000174405,0.032304005,0.217421862,0.000659916,traditional,6,8
6,0.021180136,0.136746391,-0.000135921,0.022362544,0.240684696,-0.000276623,0.029711005,0.283644033,0.000667635,traditional,7,8
7,0.014267658,0.120162476,0.00057149,0.014466377,0.143611859,-7.23E-05,0.034595406,0.203312335,0.000607291,traditional,8,8
8,0.008906914,0.230736201,0.000464477,0.027904663,0.318563488,4.00E-06,0.030776282,0.271401328,0.000480178,traditional,9,8
9,0.015867653,0.154042431,-1.31E-05,0.029951807,0.250571632,2.38E-05,0.043168986,0.200439332,0.000197386,traditional,10,8
10,0.014437741,0.129272751,0.00022549,0.016794573,0.190430416,0.000162778,0.040193564,0.236765141,0.000417109,human_like,1,8
11,0.01376867,0.132379829,0.000521307,0.018968353,0.134298208,8.78E-05,0.053030167,0.198997414,0.000119418,human_like,2,8
12,0.013721477,0.154767185,0.000663584,0.036375215,0.094273447,0.0002957,0.052127867,0.165546088,0.000701428,human_like,3,8
13,0.014785293,0.104803744,0.000633379,0.026814621,0.106512126,1.82E-05,0.038480963,0.123438153,0.000605544,human_like,4,8
14,0.017496134,0.122002885,0.000530312,0.028346731,0.105914695,7.42E-05,0.040390653,0.094832025,0.00062478,human_like,5,8
15,0.01495087,0.132747695,0.001085729,0.023541459,0.15071971,0.000127739,0.053567845,0.137158123,0.00051544,human_like,6,8
16,0.012067601,0.092547407,0.001047569,0.018461815,0.176322698,0.0001217,0.04250733,0.119823312,0.000473676,human_like,7,8
17,0.020272861,0.139975921,0.000652964,0.022965706,0.169643003,0.000228782,0.046170324,0.10562168,0.00050874,human_like,8,8
18,0.010943281,0.086487632,0.000787265,0.022488584,0.128244759,0.000257671,0.029364674,0.076834266,0.000542406,human_like,9,8
19,0.013258438,0.139391391,0.000495916,0.021872746,0.092735767,5.40E-05,0.029266444,0.121995455,0.000248931,human_like,10,8
0,0.011717317,0.268406351,-0.000639108,0.01415704,0.301679283,-0.000226703,0.035691428,0.319944037,0.000529014,traditional,1,9
1,0.013836679,0.1989019,-0.001190146,0.016389885,0.191370113,0.000486634,0.0375131,0.244445461,0.000799734,traditional,2,9
2,0.013600864,0.236131726,-0.001261278,0.015425625,0.253425247,-0.000133388,0.042110037,0.328978366,0.000580803,traditional,3,9
3,0.010875514,0.111884786,-0.000575842,0.012995028,0.235265116,-0.000219027,0.020246438,0.174193891,0.000699896,traditional,4,9
4,0.011806105,0.153636819,-0.000988151,0.020103726,0.253244551,-0.000265152,0.045895806,0.287282125,0.000625747,traditional,5,9
5,0.015291417,0.207548192,-0.00118008,0.02603961,0.303324289,-0.000303239,0.063876893,0.293881636,0.000870841,traditional,6,9
6,0.022145765,0.111043448,-0.000720461,0.023931145,0.114782155,-0.000215122,0.042297517,0.245555231,0.000796987,traditional,7,9
7,0.022746031,0.12663993,-0.000811977,0.022951049,0.187069574,-0.000158373,0.050128477,0.249336693,0.000824287,traditional,8,9
8,0.018923027,0.169574038,-0.001209137,0.019399636,0.198034144,-0.000127084,0.059350852,0.211113469,0.000651487,traditional,9,9
9,0.019168122,0.257350654,-0.001549623,0.026766402,0.19786837,-0.000345452,0.06655899,0.202049272,0.000969842,traditional,10,9
10,0.020206876,0.118203955,-0.000298262,0.035615396,0.154175794,0.000138281,0.047493454,0.13901497,0.000300144,human_like,1,9
11,0.01418182,0.159122548,-0.000885658,0.017796216,0.084622749,0.000293931,0.041374274,0.109907426,0.000341192,human_like,2,9
12,0.011290173,0.123876669,-0.001024089,0.025545805,0.112486596,-0.000162126,0.05537051,0.102205151,0.000609196,human_like,3,9
13,0.015962094,0.227667852,-0.000817382,0.027494801,0.173362015,-0.000115884,0.069356685,0.2663348,0.000573348,human_like,4,9
14,0.013661498,0.158131612,-0.00112668,0.022551261,0.169513952,-0.000109213,0.047311766,0.147643895,0.000646768,human_like,5,9
15,0.012371564,0.110399012,-0.000828995,0.01474511,0.12658473,-7.60E-05,0.041723667,0.179044245,0.000193526,human_like,6,9
16,0.013992026,0.080010662,-0.001109131,0.016900729,0.091972561,-0.000136695,0.048610847,0.159801032,0.000216005,human_like,7,9
17,0.013694336,0.169632867,-0.000549608,0.020591156,0.093392387,-6.55E-05,0.056108545,0.139948892,0.000390924,human_like,8,9
18,0.014210993,0.097175166,-0.001305628,0.022347625,0.081401562,-0.000155455,0.060952725,0.115609523,0.000681343,human_like,9,9
19,0.016276154,0.10549562,-0.000859091,0.025199858,0.076536168,6.93E-05,0.04219356,0.136851152,0.000437553,human_like,10,9
0,0.02667153,0.171333795,-0.000161931,0.039588735,0.194500969,7.87E-05,0.043549267,0.318050128,0.000156739,traditional,1,10
1,0.017844513,0.178301992,-0.000199124,0.028881749,0.238826055,-0.000180463,0.041652229,0.300783446,0.000176376,traditional,2,10
2,0.013724501,0.088330704,-0.00025329,0.022371678,0.222368342,6.62E-05,0.030481562,0.270060906,0.000301472,traditional,3,10
3,0.013315004,0.071305101,-0.000415469,0.023706735,0.175890209,5.30E-05,0.036832828,0.260598434,0.000466402,traditional,4,10
4,0.013041235,0.11737726,-0.000334742,0.025453522,0.207351305,1.07E-05,0.029588734,0.262672627,0.000598672,traditional,5,10
5,0.011934583,0.12768118,-0.000353968,0.026912451,0.227160185,-5.30E-05,0.030733641,0.285605898,0.000513725,traditional,6,10
6,0.010109109,0.151482993,-0.000323568,0.022965461,0.258733475,-0.000141977,0.027288979,0.291584556,0.000428897,traditional,7,10
7,0.012143819,0.188584205,-0.000371876,0.026438934,0.208747568,0.000150425,0.038809439,0.21653303,0.000529022,traditional,8,10
8,0.014656019,0.073520255,-0.00055418,0.02465093,0.157278791,2.89E-06,0.027590466,0.192511767,0.000583676,traditional,9,10
9,0.010358058,0.13589215,-0.0002773,0.020922392,0.204632614,0.000249862,0.030479468,0.214987958,0.000552078,traditional,10,10
10,0.011974458,0.133783251,0.000257286,0.016252741,0.280168868,0.00011855,0.015232858,0.176231415,0.000174221,human_like,1,10
11,0.024602482,0.245154302,-0.000166774,0.03404929,0.267618944,5.72E-05,0.034113375,0.307059177,0.000407063,human_like,2,10
12,0.011648977,0.178824117,-0.000484729,0.025836832,0.259863026,-5.35E-05,0.042287312,0.227606889,0.000356308,human_like,3,10
13,0.010838359,0.223385577,-0.00024599,0.028850917,0.442649749,-1.90E-05,0.047486751,0.357321087,0.000358162,human_like,4,10
14,0.017456108,0.209214728,0.000358277,0.047313975,0.221061067,8.41E-05,0.034515597,0.185459413,0.000418977,human_like,5,10
15,0.01195108,0.136304408,-0.000325863,0.029006413,0.199683249,2.23E-05,0.030397282,0.219329776,0.00052263,human_like,6,10
16,0.007378609,0.306925022,-0.000199642,0.020746228,0.326139314,7.46E-05,0.032414102,0.329562534,0.000265064,human_like,7,10
17,0.01050651,0.335898573,-0.000136911,0.027621896,0.461930487,5.76E-05,0.031283551,0.372463106,0.00034248,human_like,8,10
18,0.008322399,0.364493011,-0.000140624,0.024647588,0.477731925,-8.46E-05,0.04138588,0.528111804,0.00029023,human_like,9,10
19,0.006907534,0.152605752,0.0004197,0.031716062,0.317666021,0.000133875,0.033847286,0.242459242,0.000452771,human_like,10,10
0,0.006085616,0.547950551,0.000551847,0.02548845,0.526699826,-2.70E-05,0.04881665,0.531718037,0.000154504,traditional,1,11
1,0.010260674,0.4885985,0.00073368,0.022240367,0.397476173,-0.00018256,0.045962661,0.514467348,0.000232933,traditional,2,11
2,0.011359268,0.575545617,0.000930411,0.015249506,0.393807103,-0.000104295,0.040212574,0.61153166,0.00025989,traditional,3,11
3,0.013975364,0.29321764,0.00107597,0.014010385,0.294972983,0.000397214,0.062118614,0.643519096,0.000394306,traditional,4,11
4,0.013885863,0.385537739,-0.000203461,0.027302187,0.483232395,-6.03E-05,0.040837957,0.608321855,0.00031997,traditional,5,11
5,0.011273184,0.48750135,0.000575567,0.031661701,0.518976938,-0.000256668,0.045183675,0.597814029,0.000280218,traditional,6,11
